先生 ， 早 ， 歡迎 光臨 本店 。 三 。,您好 ， 總共 兩 位 。 零 。
請 進來 。 需要 我 效勞 嗎 ？ 四 。,是的 ， 總共 兩 位 。 零 。
是的 ， 總共 兩 位 。 零 。,這邊 請 ！ 零 。
我 要點 餐 。 零 。,什麼 ？ 請 再說 一 遍 。 四 。
請問 您 需要 什麼 ？ 四 。,不好意思 ， 這個 我 不 會 用 英語 說 。六 。
不好意思 ， 這個 我 不 會 用 英語 說 。六 。,我 找 人 來 幫 您 。零 。
您 可 不 可以 幫 我 一個 忙 ？ 四 。,好 的 ， 請問 您 需要 什麼 幫忙 ？ 四 。
好 的 ， 請問 您 需要 什麼 幫忙 ？ 四 。,這 份 餐點 沒有 熟 。 零 。
這 份 餐點 沒有 熟 。 零 。,這個 嘛 ， 我 看看 … 零 。
我 在 找 鞋子 。 零 。,請問 需要 什麼 大小 ？ 四 。
你們 有 沒 有 賣 帽子 ？ 四 。,有 ， 但是 賣 光 了 。七 。
您 想 要 看 些 什麼 ？ 四 。,我 只是 看看 。 零 。
抱歉 ， 讓 您 久 等 。 您 覺得 這個 怎樣 ？ 四 。,我 覺得 還 不錯 。 八 。
我 覺得 還 不錯 。 八 。,還 需要 什麼 別的 嗎 ？ 四 。
還 需要 什麼 別的 嗎 ？ 四 。,就 這個 ， 謝謝 您 零 。
您 有 什麼 建議 ？ 四 。,要 不 要 我 推薦 一些 東西 給 你 ？ 九 。
要 不 要 我 推薦 一些 東西 給 你 ？ 九 。,好 的 ， 麻煩 了 。 三 。
你們 營業 時間 到 幾 點 ？ 四 。,到 下午 九點。八 。
到 下午 九點。八 。,那 你們 幾 點 開門 ？ 四 。
那 你們 幾 點 開門 ？ 四 。,上午 10點 。 八 。
何時 開門 ？ 四 。,除 週一 外 每天 都 開放 ， 我們 假日 公休 。 八 。
我 要 退 錢 。 請 經理 出來 跟 我 說 好 嗎 ？ 五 。,對不起 ， 我們 弄 錯 了 。七 。
我 的 咖啡 做 錯 了 七 。,我們 會 換 新 的 給 您 。零 。
先生 ， 早 ！ 零 。,早安 。零 。
女士 ， 午安 。零 。,午安 。零 。
小姐 ， 晚安 。零 。,晚安 。零 。
歡迎 光臨 本館 ， 需要 我 效勞 嗎 ？ 四 。,請 給 我 菜單 。 零 。
要 我 幫 什麼 忙 嗎 ？ 四 。,兩 位 。 零 。
兩 位 。 零 。,這邊 請 ！ 零 。
請 坐 ！ 要 不 要 喝 什麼 ？ 九 。,來杯 卡布奇諾 。 零 。
來杯 卡布奇諾 。 零 。,什麼 ？ 請 再說 一 遍 。 四 。
什麼 ？ 請 再說 一 遍 。 四 。,我 要 一 杯 卡布奇諾 。 零 。
我 要 一 杯 卡布奇諾 。 零 。,抱歉 。 我 不 懂 您 的 意思 。 七 。
這裏 是 餐廳 訂 位 組 。 零 。,我 要 訂位 。零 。
我 要 訂位 。零 。,要 訂 哪個 時候 的 ？ 四 。
要 訂 哪個 時候 的 ？ 四 。,今晚 8點 。零 。
幾 位 ？,三 個 大人 一個 小孩 零 。
三 個 大人 一個 小孩 零 。,總共 三 加 一 位 ？ 四 。
總共 三 加 一 位 ？ 四 。,是的 零 。
是的 零 。,請 在 此 等候 ， 我 會 帶 您 就座．零 。
您 較 喜歡 坐 在 哪兒 ？ 四 。,靠 窗 那 桌零 。
靠 窗 那 桌零 。,抱歉 ， 這 桌 已 有 人 訂． 零 。
我 想 訂 8 位 ， 七 點 用餐 。 零 。,好 的 三 。
好 的 三 。,麻煩 安排 角落 的 座位 。 零 。
麻煩 安排 角落 的 座位 。 零 。,好 的 ， 我 馬上 送 菜單 來 。 九 。
菜單 來 了 。 請 慢慢 參考 才 決定 。 九 。,可以 開始 點菜 了 嗎 ？ 四 。
可以 開始 點菜 了 嗎 ？ 四 。,好 的 ， 您 想 要 喝 點 什麼 ？ 四 。
好 的 ， 您 想 要 喝 點 什麼 ？ 四 。,我 要 一 杯 黑 咖啡 。 零 。
我 要 一 杯 黑 咖啡 。 零 。,還要 點 些 別的 什麼 嗎 ？ 四 。
還要 點 些 別的 什麼 嗎 ？ 四 。,就 這樣 ， 謝謝 。零 。
這裏 用 還是 外帶 ？ 四 。,我 想 外帶 。 零 。
全部 就 這些 ？ 四 。,是的 ， 總共 多少 錢 ？ 四 。
抱歉 ， 餐廳 要 打烊 了 。七 。,好 的 。 三 。
先生 ， 晚安 。 這 是 菜單 。 九 。,好 。 給 我 幾 分鐘 ， 讓 我 看 一下 。 零 。
好 。 給 我 幾 分鐘 ， 讓 我 看 一下 。 零 。,您 慢慢 看 。 我等會兒 就 過來 。 零 。
先生 ， 現在 可以 幫 您 點菜 了 嗎 ？ 九 。,可以 了 。 我 想 先 來 一 份 雞湯 。 零 。
可以 了 。 我 想 先 來 一 份 雞湯 。 零 。,主菜 您 想 點 什麼 ？ 四 。
主菜 您 想 點 什麼 ？ 四 。,菲力 牛排 。 零 。
菲力 牛排 。 零 。,您 要 幾 分 熟 ？ 四 。
您 要 幾 分 熟 ？ 四 。,四分熟 的 。 零 。
四分熟 的 。 零 。,要點 甜點 嗎 ？ 四 。
要點 甜點 嗎 ？ 四 。,不 。 我 過 一會兒 再 點 。 零 。
你 要 喝 點 甚 麼 嗎 ？ 九 。,你們 有 卡布奇諾 嗎 ？ 四 。
你們 有 卡布奇諾 嗎 ？ 四 。,有 啊 ， 我們 有 卡布奇諾 跟 黑 咖啡 。 零 。
有 啊 ， 我們 有 卡布奇諾 跟 黑 咖啡 。 零 。,那 我 要 卡布奇諾 。 零 。
那 我 要 卡布奇諾 。 零 。,好 的 ， 我 轉頭 就 爲 你 送 上 卡布奇諾 。 零 。
你 要 喝 點 甚 麼 嗎 ？ 四 。,我 喝 水 就 可以 了 ， 謝謝 。零 。
我 喝 水 就 可以 了 ， 謝謝 。零 。,好 的 ， 你 現在 要點 餐 嗎 ？ 九 。
好 的 ， 你 現在 要點 餐 嗎 ？ 九 。,嗯 … 可以 給 我 一點 時間 嗎 ？ 四 。
嗯 … 可以 給 我 一點 時間 嗎 ？ 四 。,當然 可以 喔 ， 我 等 一下 再 回來 。 零 。
你 現在 要點 餐 嗎 ？ 九 。,是的 ， 我 要 一 杯 卡布奇諾 ， 不要 糖 。 零 。
是的 ， 我 要 一 杯 卡布奇諾 ， 不要 糖 。 零 。,好 的 ， 還有 其他 嗎 ？ 四 。
好 的 ， 還有 其他 嗎 ？ 四 。,沒有 了 ， 就 這樣 。 零 。
沒有 了 ， 就 這樣 。 零 。,好 的 ， 我 等 下 就 爲 你 送 上 餐點 。 三 。
這 是 你 的 卡布奇諾 。 零 。,謝謝 你 。 一 。
卡布奇諾 好 喝 嗎 ？ 四 。,很 好 喝 。 二 。
很 好 喝 。 二 。,太 好 了 ， 慢慢 享用 。零 。
我 可以 買單 嗎 ？ 四 。,當然 可以 ， 這 是 你 的 帳單 ， 請問 你 要 付現 還 是 刷卡 ？ 四 。
當然 可以 ， 這 是 你 的 帳單 ， 請問 你 要 付現 還 是 刷卡 ？ 四 。,現金 。零 。
現金 。零 。,謝謝 ， 請 稍 等 ， 我 去 找錢 。 一 。
謝謝 ， 請 稍 等 ， 我 去 找錢 。 一 。,好 的 。 三 。
好 的 。 三 。,這 是 你 的 零錢 ， 非常 感謝 你 的 光顧 。一 。
服務生 ！ 零 。,是的 ， 強森 先生 。 您 要點 菜 了 嗎 ？ 九 。
是的 ， 強森 先生 。 您 要點 菜 了 嗎 ？ 九 。,是的 。 今天 的 招牌菜 是 什麼 ？ 四 。
是的 。 今天 的 招牌菜 是 什麼 ？ 四 。,我們 有 牛排 、 炸雞 或 炸 蝦特餐 ， 以及 時菜 炒 飯 等 。 九 。
我們 有 牛排 、 炸雞 或 炸 蝦特餐 ， 以及 時菜 炒 飯 等 。 九 。,我 要 牛排 特餐 。零 。
我 要 牛排 特餐 。零 。,您 牛排 要 幾 分 熟 ？ 四 。
您 牛排 要 幾 分 熟 ？ 四 。,三 分 熟 。 零 。
三 分 熟 。 零 。,您 附餐 要 茶 還是 咖啡 ？ 四 。
您 附餐 要 茶 還是 咖啡 ？ 四 。,咖啡 好 了 。零 。
咖啡 好 了 。零 。,還要 什麼 嗎 ？ 四 。
還要 什麼 嗎 ？ 四 。,先 這樣 好 了 。零 。
先 這樣 好 了 。零 。,我們 馬上 送 上 您 的 晚餐 。 零 。
你 要 喝 點 甚 麼 嗎 ？ 九 。,我 可以 要 一 杯 橘子汁 嗎 ？ 四 。
我 可以 要 一 杯 橘子汁 嗎 ？ 四 。,當然 。 我等 下 拿 你 的 飲料 來 。 零 。
這 是 你 的 橘子汁 。 零 。,謝謝 。一 。
謝謝 。一 。,我 可以 幫 你 點 餐 嗎 ？ 九 。
我 可以 幫 你 點 餐 嗎 ？ 九 。,可以 ， 我 要 一個 黑 咖啡 。 零 。
可以 ， 我 要 一個 黑 咖啡 。 零 。,好 的 馬上 來 。 零 。
好 的 馬上 來 。 零 。,謝謝 。一 。
有 沒 有 興趣 來 些 甜點 呢 ？ 九 。,您 能 不 能 給 我們 你們 的 甜點 單 呢 ？ 四 。
您 能 不 能 給 我們 你們 的 甜點 單 呢 ？ 四 。,當然 ！ 我 馬上 回來 ！ 九 。
我 想 點 白 巧克力 慕斯 蛋糕 。 零 。,沒 問題 ！ 三 。
可以 請 你 拿 毛衣 給 我 看看 嗎 ？ 四 。,當然 可以 ， 先生 。 我們 這裏 有 很多 款式 。零 。
當然 可以 ， 先生 。 我們 這裏 有 很多 款式 。零 。,對不起 。 我 想 要 女生 穿 的 毛衣 ， 不 是 男生 的 。 零 。
對不起 。 我 想 要 女生 穿 的 毛衣 ， 不 是 男生 的 。 零 。,喔 ， 我 知道 了 。 女用 毛衣 在 這 。 零 。
您 想 要 V 字領 的 還是 翻折式 高領 的 樣式 ？ 四 。,翻折式 高領 的 樣式 。零 。
翻折式 高領 的 樣式 。零 。,這些 有 您 喜歡 的 嗎 ？ 四 。
這些 有 您 喜歡 的 嗎 ？ 四 。,那 件 很 不錯 。 多少 錢 ？ 四 。
那 件 很 不錯 。 多少 錢 ？ 四 。,一百六十九 元 。 零 。
一百六十九 元 。 零 。,比 我 想 的 還要 貴 。 你 有 便宜 點 的 嗎 ？ 四 。
比 我 想 的 還要 貴 。 你 有 便宜 點 的 嗎 ？ 四 。,當然 有 ， 先生 。 你 預算 多少 ？ 四 。
當然 有 ， 先生 。 你 預算 多少 ？ 四 。,我 想 要 一百 元 以下 的 。 零 。
我 想 要 一百 元 以下 的 。 零 。,既然 這樣 ， 我 大力 推薦 這 一 件 。 它 只 超出 您 的 預算五 元 ， 而且 物超所值 。零 。
既然 這樣 ， 我 大力 推薦 這 一 件 。 它 只 超出 您 的 預算五 元 ， 而且 物超所值 。零 。,好 的 。 我 就 買 這 件 。 零 。
我們 可以 看 一下 廚房 嗎 ？ 四 。,當然 。 這邊 請 。 零 。
當然 。 這邊 請 。 零 。,哦 ， 廚房 好 寬敞 。 零 。
哦 ， 廚房 好 寬敞 。 零 。,是的 。 我 就 知道 妳 會 喜歡 。 零 。
是的 。 我 就 知道 妳 會 喜歡 。 零 。,這 臺 冰箱 是 新 的 嗎 ？ 四 。
這 臺 冰箱 是 新 的 嗎 ？ 四 。,是的 ， 它 是 全新 的 。零 。
是的 ， 它 是 全新 的 。零 。,嗯 … 還有 一個 問題 ︰ 這 棟 大樓 裏 可以 養 狗 嗎 ？ 四 。
嗯 … 還有 一個 問題 ︰ 這 棟 大樓 裏 可以 養 狗 嗎 ？ 四 。,狗 ？ 我 想 是 可以 的 。 三 。
狗 ？ 我 想 是 可以 的 。 三 。,我們 什麼 時候 可以 搬 進來 ？ 四 。
我們 什麼 時候 可以 搬 進來 ？ 四 。,隨時 。 零 。
隨時 。 零 。,如果 你 覺得 可以 的 話 ， 我們 想 明天 就 搬 進來 。 零 。
如果 你 覺得 可以 的 話 ， 我們 想 明天 就 搬 進來 。 零 。,沒 問題 。 我 想 請 你們 預付 兩 個 月 的 租金 ， 外加 八百 元 的 損毀 押金 ， 你們 搬走 時 就 會 退還 給 你們 。 三 。
先生 ， 我 能 爲 您 效勞 嗎 ？ 四 。,是的 ， 我 想 買 一 套 客廳 傢俱 。 零 。
是的 ， 我 想 買 一 套 客廳 傢俱 。 零 。,請 到 這邊 來 。 我們 有 非常 多 的 選擇 。 零 。
請 到 這邊 來 。 我們 有 非常 多 的 選擇 。 零 。,這 張 桌子 是 用 什麼 做 的 ？ 四 。
這 張 桌子 是 用 什麼 做 的 ？ 四 。,是 這 張 嗎 ？ 四 。
是 這 張 嗎 ？ 四 。,不 是 ， 是 那邊 那 張 。零 。
不 是 ， 是 那邊 那 張 。零 。,它 是 楓木 做 的 。零 。
它 是 楓木 做 的 。零 。,哦 ， 我 喜歡 這 張 沙發 。 它 像 牀 一樣 舒服 。 零 。
哦 ， 我 喜歡 這 張 沙發 。 它 像 牀 一樣 舒服 。 零 。,嗯 ， 這 是 一 張 牀 。 我 的 意思 是 ， 它 可以 變成 一 張 牀 。 零 。
嗯 ， 這 是 一 張 牀 。 我 的 意思 是 ， 它 可以 變成 一 張 牀 。 零 。,真是 方便 ！ 我 買 了 。 可以 分期付款 嗎 ？ 四 。
真是 方便 ！ 我 買 了 。 可以 分期付款 嗎 ？ 四 。,可以 。 您 可以 分 十二 個 月 輕鬆 付款 。 三 。
希爾頓 飯店 。 我 能 爲 您 效勞 嗎 ？ 四 。,是的 ， 我 想 預訂 一 間 明天 的 房間 。 零 。
是的 ， 我 想 預訂 一 間 明天 的 房間 。 零 。,您 想 要 什麼樣 的 房間 ？ 八 。
您 想 要 什麼樣 的 房間 ？ 八 。,一 間 雙人房 。 零 。
先生 ， 您 打算 住 多久 ？ 四 。,三 天 。 房間 的 價錢 是 多少 ？ 四 。
三 天 。 房間 的 價錢 是 多少 ？ 四 。,一個 晚上 一百一十九 元 。 零 。
一個 晚上 一百一十九 元 。 零 。,包括 餐費 嗎 ？ 四 。
包括 餐費 嗎 ？ 四 。,是的 ， 我們 在 中層 樓 有 免費 的 自助式 早餐 供應 。零 。
是的 ， 我們 在 中層 樓 有 免費 的 自助式 早餐 供應 。零 。,這樣 很 好 。 零 。
這樣 很 好 。 零 。,請問 尊 姓 大名 ？ 四 。
請問 尊 姓 大名 ？ 四 。,我 叫 約翰． 史密斯 。 零 。
我 叫 約翰． 史密斯 。 零 。,謝謝 您 ， 史密斯 先生 。 我們 期盼 您 的 光臨 。 零 。
客房 服務部 。 我 能 幫 您 什麼 忙 ？ 四 。,晚安 。 我 是 一二三 號 房 的 約翰． 史密斯 。 零 。
晚安 。 我 是 一二三 號 房 的 約翰． 史密斯 。 零 。,什麼 事 ， 先生 ？ 四 。
什麼 事 ， 先生 ？ 四 。,你們 能 幫 我 一個 忙 嗎 ？ 四 。
你們 能 幫 我 一個 忙 嗎 ？ 四 。,若 能 幫忙 ， 我 很 樂意 服務 ， 史密斯 先生 。零 。
若 能 幫忙 ， 我 很 樂意 服務 ， 史密斯 先生 。零 。,請 在 明天 早上 六點鐘 打電話 叫醒 我 ， 好 嗎 ？ 四 。
請 在 明天 早上 六點鐘 打電話 叫醒 我 ， 好 嗎 ？ 四 。,當然 可以 。 三 。
當然 可以 。 三 。,謝謝 。 那麼 早 你們 供應 早餐 了 嗎 ？ 四 。
謝謝 。 那麼 早 你們 供應 早餐 了 嗎 ？ 四 。,是的 ， 先生 。 您 可以 在 您 房間 裏 吃 早餐 或 在 餐廳 裏 吃 自助式 早餐 。零 。
是的 ， 先生 。 您 可以 在 您 房間 裏 吃 早餐 或 在 餐廳 裏 吃 自助式 早餐 。零 。,好 。 還有 一 件 事 ， 今天 晚上 我 需要 多 一 條 毛毯 。 零 。
好 。 還有 一 件 事 ， 今天 晚上 我 需要 多 一 條 毛毯 。 零 。,沒 問題 ， 史密斯 先生 。 我 馬上 送 一 條 上去 。 三 。
櫃檯 服務員 ， 早安 。零 。,早安 。 我 是 一二三 號 房 的 約翰． 史密斯 。 我 準備 要 離開 了 。請派 一個 行李員 來 搬 我 的 行李 ， 好 嗎 ？ 四 。
早安 。 我 是 一二三 號 房 的 約翰． 史密斯 。 我 準備 要 離開 了 。請派 一個 行李員 來 搬 我 的 行李 ， 好 嗎 ？ 四 。,好 的 ， 先生 。 馬上 就 來 。 三 。
先生 ， 我 能 爲 您 效勞 嗎 ？ 四 。,是的 ， 我 要 退 房 。 零 。
是的 ， 我 要 退 房 。 零 。,您 的 房間 號碼 和 鑰匙 呢 ？ 四 。
您 的 房間 號碼 和 鑰匙 呢 ？ 四 。,一二三 號 房 。 這 是 我 的 鑰匙 。 零 。
一二三 號 房 。 這 是 我 的 鑰匙 。 零 。,先生 ， 這 是 您 的 帳單 。 請 您 覈對 一下 好 嗎 ？ 四 。
先生 ， 這 是 您 的 帳單 。 請 您 覈對 一下 好 嗎 ？ 四 。,看來 沒 錯 。 你們 收 旅行 支票 嗎 ？ 四 。
看來 沒 錯 。 你們 收 旅行 支票 嗎 ？ 四 。,當然 了 ， 先生 。 三 。
當然 了 ， 先生 。 三 。,旅行 支票 給 你 。 零 。
我 想 租 輛 車 。 零 。,您 想 要 什麼樣 的 車 ？ 小型 轎車 還是 普通 轎車 ？ 四 。
您 想 要 什麼樣 的 車 ？ 小型 轎車 還是 普通 轎車 ？ 四 。,我 想 要 輛 小型 車 。 零 。
我 想 要 輛 小型 車 。 零 。,這 是 我們 的 汽車 目錄 。 零 。
這 是 我們 的 汽車 目錄 。 零 。,我 喜歡 這 輛 。 零 。
我 喜歡 這 輛 。 零 。,好 的 。 您 要 租 多久 ？ 四 。
好 的 。 您 要 租 多久 ？ 四 。,大約 一個 星期 。 租金 多少 ？ 四 。
大約 一個 星期 。 租金 多少 ？ 四 。,一 天 二十九 美元 ， 不 限 哩數 。 零 。
一 天 二十九 美元 ， 不 限 哩數 。 零 。,包括 保險 嗎 ？ 四 。
包括 保險 嗎 ？ 四 。,是的 。 我 可以 看看 您 的 駕駛 執照 嗎 ？ 四 。
是的 。 我 可以 看看 您 的 駕駛 執照 嗎 ？ 四 。,當然 可以 。 我 有 一 張 國際 駕駛 執照 ， 這 是 我 的 信用卡 。 三 。
當然 可以 。 我 有 一 張 國際 駕駛 執照 ， 這 是 我 的 信用卡 。 三 。,好 的 。請填 一下 這 張 表 ， 您 就 可以 上路 了 。零 。
您 要 加 哪 一 種 汽油 ？ 四 。,我 不 太 清楚 。 這 是 租 來 的 車 ， 而且 是 我 第一 次 加油 。零 。
我 不 太 清楚 。 這 是 租 來 的 車 ， 而且 是 我 第一 次 加油 。零 。,我們 有 普通 汽油 ， 特級 汽油 和 高級 汽油 。 這 是 新 車 ， 所以 我 建議 您 加 高級 汽油 。 零 。
我們 有 普通 汽油 ， 特級 汽油 和 高級 汽油 。 這 是 新 車 ， 所以 我 建議 您 加 高級 汽油 。 零 。,謝謝 。 請 加滿 。 一 。
謝謝 。 請 加滿 。 一 。,好 的 ， 先生 。零 。
需要 清潔 一下 擋風 玻璃 嗎 ？ 四 。,好 的 ， 謝謝 。一 。
可否 幫 我 檢查 一下 水箱 ， 機油 和 輪胎 ？ 四 。,沒 問題 。 三 。
沒 問題 。 三 。,這兒 有 洗手間 嗎 ？ 四 。
這兒 有 洗手間 嗎 ？ 四 。,有的 ， 先生 。 在 那邊 。 零 。
您 的 車 好 了 。 加 了 點 水 ， 機油 和 輪胎 沒 問題 。 零 。,好 。 一共 多少 錢 ？ 四 。
好 。 一共 多少 錢 ？ 四 。,九加侖 特級 汽油 。 一共 是 十五 元 三 角 兩 分 美元 。 零 。
女士 ， 您好 。 我 能 爲 您 效勞 嗎 ？ 四 。,我 這個 東西 可以 退 錢 嗎 ？ 四 。
我 這個 東西 可以 退 錢 嗎 ？ 四 。,有 什麼 不 對 嗎 ？ 四 。
有 什麼 不 對 嗎 ？ 四 。,有 啊 ， 這個 部分 有 瑕疵 。 我 買 的 時候 沒有 注意 到 。 零 。
有 啊 ， 這個 部分 有 瑕疵 。 我 買 的 時候 沒有 注意 到 。 零 。,哦 ， 真 抱歉 。 我 可以 看看 您 的 發票 嗎 ？ 四 。
哦 ， 真 抱歉 。 我 可以 看看 您 的 發票 嗎 ？ 四 。,可以 ， 在 這兒 。 三 。
很 抱歉 ， 女士 。 您 的 退款 期限 十 天 前 就 過 了 。七 。,差十 天 有 什麼 關係 ？ 四 。
差十 天 有 什麼 關係 ？ 四 。,雖然 您 不 能 退 錢 ， 但 我 可以 讓 您 換 另 一 件 或 任何 其他 東西 。 零 。
雖然 您 不 能 退 錢 ， 但 我 可以 讓 您 換 另 一 件 或 任何 其他 東西 。 零 。,你 有 和 這 件 完全 一模一樣 顏色 、 樣式 、 尺寸 的 嗎 ？ 四 。
你 有 和 這 件 完全 一模一樣 顏色 、 樣式 、 尺寸 的 嗎 ？ 四 。,我 看看 …嗯 。 這件 的 式樣 和 尺寸 是 一模一樣 ， 但是 顏色 不 一樣 。 零 。
我 看看 …嗯 。 這件 的 式樣 和 尺寸 是 一模一樣 ， 但是 顏色 不 一樣 。 零 。,哦 ， 看來 我 別無選擇 了 。 你 可以 幫 我 訂 一 件 相同 顏色 的 嗎 ？ 四 。
哦 ， 看來 我 別無選擇 了 。 你 可以 幫 我 訂 一 件 相同 顏色 的 嗎 ？ 四 。,我 當然 可以 試試 。 請 稍 等 。 三 。
我 要 寄 這 封 信 到 紐約 。零 。,航空信 還是 平信 ？ 四 。
航空信 還是 平信 ？ 四 。,平信 。 零 。
你 知道 到 紐約 的 航空信費率 是 多少 嗎 ？ 四 。,第一 盎司 三 角 兩 分 ， 之後 每 加 一 盎司 是 兩 角 六 分 。 零 。
寄 航空 信 到 那裏 要 多久 ？ 四 。,通常 要 花 三 或 四 天 的 時間 。 零 。
通常 要 花 三 或 四 天 的 時間 。 零 。,好 的 。 我 要 寄 航空信 ， 而且 還要 掛號 。 三 。
妳 也 要 保險 嗎 ？ 四 。,不 用 ， 裏面 只 有 一 張 支票 和 一 張 照片 。 這 封 信 的 郵費 是 多少 ？ 四 。
不 用 ， 裏面 只 有 一 張 支票 和 一 張 照片 。 這 封 信 的 郵費 是 多少 ？ 四 。,一 元 八角三分美金 。零 。
一 元 八角三分美金 。零 。,好 的 。 給 你 三 。
好 的 。 給 你 三 。,這 是 妳 的 收據 。零 。
女士 ， 午安 。零 。,午安 。 我 約 好 四點鐘 燙髮 。 零 。
午安 。 我 約 好 四點鐘 燙髮 。 零 。,哦 ， 好 的 ， 請 坐 。 零 。
哦 ， 好 的 ， 請 坐 。 零 。,謝謝 。一 。
妳 想 燙 哪 一 種 髮型 ？ 四 。,你 有 哪 幾 種 ？ 四 。
你 有 哪 幾 種 ？ 四 。,哦 ， 我們 有 很多 種 ： 一般 燙髮 、 冷燙 、 平板燙 及 泡沫 燙 。 零 。
哦 ， 我們 有 很多 種 ： 一般 燙髮 、 冷燙 、 平板燙 及 泡沫 燙 。 零 。,今天 我 想 試 一下 泡沫 燙 。 零 。
今天 我 想 試 一下 泡沫 燙 。 零 。,好 的 。 請 坐 到 這邊 來 。 三 。
