先生，早，歡迎光臨本店。 三。,您好，總共兩位。 零。
請進來。需要我效勞嗎？ 四。,是的，總共兩位。 零。
是的，總共兩位。 零。,這邊請！ 零。
我要點餐。 零。,什麼？ 請再說一遍。 四。
請問您需要什麼？ 四。,不好意思，這個我不會用英語說。 六。
不好意思，這個我不會用英語說。 六。,我找人來幫您。 零。
您可不可以幫我一個忙？ 四。,好的，請問您需要什麼幫忙？ 四。
好的，請問您需要什麼幫忙？ 四。,這份餐點沒有熟。 零。
這份餐點沒有熟。 零。,這個嘛，我看看… 零。
我在找鞋子。 零。,請問需要什麼大小？ 四。
你們有沒有賣帽子？ 四。,有，但是賣光了。 七。
您想要看些什麼？ 四。,我只是看看。 零。
抱歉，讓您久等。您覺得這個怎樣？ 四。,我覺得還不錯。 八  。
我覺得還不錯。 八  。,還需要什麼別的嗎？ 四。
還需要什麼別的嗎？ 四。,就這個，謝謝您 零。
您有什麼建議？ 四。,要不要我推薦一些東西給你？ 九。
要不要我推薦一些東西給你？ 九。,好的，麻煩了。 三。
你們營業時間到幾點？ 四。,到下午九點。 八。
到下午九點。 八。,那你們幾點開門？ 四。
那你們幾點開門？ 四。,上午10點。 八。
何時開門？ 四。,除週一外每天都開放，我們假日公休。 八。
我要退錢。請經理出來跟我說好嗎？ 五。,對不起，我們弄錯了。 七。
我的咖啡做錯了 七。,我們會換新的給您。 零。
先生，早！ 零。,早安。  零。
女士，午安。  零。,午安。  零。
小姐，晚安。 零。,晚安。  零。
歡迎光臨本館，需要我效勞嗎？ 四。,請給我菜單。 零。
要我幫什麼忙嗎？ 四。,兩位。 零。
兩位。 零。,這邊請！ 零。
請坐！要不要喝什麼？ 九。,來杯卡布奇諾。 零。
來杯卡布奇諾。 零。,什麼？ 請再說一遍。 四。
什麼？ 請再說一遍。 四。,我要一杯卡布奇諾。 零。
我要一杯卡布奇諾。 零。,抱歉。我不懂您的意思。 七。
這裡是餐廳訂位組。 零。,我要訂位。 零。
我要訂位。 零。,要訂哪個時候的？ 四。
要訂哪個時候的？ 四。,今晚8點。 零。
幾位 ？ ,三個大人一個小孩 零。
三個大人一個小孩 零。,總共三加一位？ 四。
總共三加一位？ 四。,是的 零。
是的 零。,請在此等候，我會帶您就座． 零。
您較喜歡坐在哪兒？ 四。,靠窗那桌 零。
靠窗那桌 零。,抱歉，這桌已有人訂． 零。
我想訂8位，七點用餐。 零。,好的 三。
好的 三。,麻煩安排角落的座位。 零。
麻煩安排角落的座位。 零。,好的，我馬上送菜單來。 九。
菜單來了。請慢慢參考才決定。 九。,可以開始點菜了嗎？ 四。
可以開始點菜了嗎？ 四。,好的，您想要喝點什麼？ 四。
好的，您想要喝點什麼？ 四。,我要一杯黑咖啡。 零。
我要一杯黑咖啡。 零。,還要點些別的什麼嗎？ 四。
還要點些別的什麼嗎？ 四。,就這樣，謝謝。 零。
這裡用還是外帶？ 四。,我想外帶。 零。
全部就這些？ 四。,是的，總共多少錢？ 四。
抱歉，餐廳要打烊了。 七。,好的。 三。
先生，晚安。這是菜單。 九。,好。給我幾分鐘，讓我看一下。 零。
好。給我幾分鐘，讓我看一下。 零。,您慢慢看。 我等會兒就過來。 零。
先生，現在可以幫您點菜了嗎？ 九。,可以了。我想先來一份雞湯。 零。
可以了。我想先來一份雞湯。 零。,主菜您想點什麼？ 四。
主菜您想點什麼？ 四。,菲力牛排。 零。
菲力牛排。 零。,您要幾分熟？ 四。
您要幾分熟？ 四。,四分熟的。 零。
四分熟的。 零。,要點甜點嗎？ 四。
要點甜點嗎？ 四。,不。我過一會兒再點。 零。
你要喝點甚麼嗎？ 九。,你們有卡布奇諾嗎？ 四。
你們有卡布奇諾嗎？ 四。,有啊，我們有卡布奇諾跟黑咖啡。 零。
有啊，我們有卡布奇諾跟黑咖啡。 零。,那我要卡布奇諾。 零。
那我要卡布奇諾。 零。,好的，我轉頭就為你送上卡布奇諾。 零。
你要喝點甚麼嗎？ 四。,我喝水就可以了，謝謝。 零。
我喝水就可以了，謝謝。 零。,好的，你現在要點餐嗎？ 九。
好的，你現在要點餐嗎？ 九。,嗯… 可以給我一點時間嗎？ 四。
嗯… 可以給我一點時間嗎？ 四。,當然可以喔，我等一下再回來。 零。
你現在要點餐嗎？ 九。,是的，我要一杯卡布奇諾，不要糖。 零。
是的，我要一杯卡布奇諾，不要糖。 零。,好的，還有其他嗎？ 四。
好的，還有其他嗎？ 四。,沒有了，就這樣。 零。
沒有了，就這樣。 零。,好的，我等下就為你送上餐點。 三。
這是你的卡布奇諾。 零。,謝謝你。 一。
卡布奇諾好喝嗎？ 四。,很好喝。 二。
很好喝。 二。,太好了，慢慢享用。 零。
我可以買單嗎？ 四。,當然可以，這是你的帳單，請問你要付現還是刷卡？ 四。
當然可以，這是你的帳單，請問你要付現還是刷卡？ 四。,現金。 零。
現金。 零。,謝謝，請稍等，我去找錢。 一。
謝謝，請稍等，我去找錢。 一。,好的。 三。
好的。 三。,這是你的零錢，非常感謝你的光顧。 一。
服務生！ 零。,是的，強森先生。您要點菜了嗎？ 九。
是的，強森先生。您要點菜了嗎？ 九。,是的。今天的招牌菜是什麼？ 四。
是的。今天的招牌菜是什麼？ 四。,我們有牛排、炸雞或炸蝦特餐，以及時菜炒飯等。 九。
我們有牛排、炸雞或炸蝦特餐，以及時菜炒飯等。 九。,我要牛排特餐。 零。
我要牛排特餐。 零。,您牛排要幾分熟？ 四。
您牛排要幾分熟？ 四。,三分熟。 零。
三分熟。 零。,您附餐要茶還是咖啡？ 四。
您附餐要茶還是咖啡？ 四。,咖啡好了。 零。
咖啡好了。 零。,還要什麼嗎？ 四。
還要什麼嗎？ 四。,先這樣好了。 零。
先這樣好了。 零。,我們馬上送上您的晚餐。 零。
你要喝點甚麼嗎？ 九。,我可以要一杯橘子汁嗎？ 四。
我可以要一杯橘子汁嗎？ 四。,當然。我等下拿你的飲料來。 零。
這是你的橘子汁。 零。,謝謝。 一。
謝謝。 一。,我可以幫你點餐嗎？ 九。
我可以幫你點餐嗎？ 九。,可以，我要一個黑咖啡。 零。
可以，我要一個黑咖啡。 零。,好的馬上來。 零。
好的馬上來。 零。,謝謝。 一。
有沒有興趣來些甜點呢？ 九。,您能不能給我們你們的甜點單呢？ 四。
您能不能給我們你們的甜點單呢？ 四。,當然！ 我馬上回來！ 九。
我想點白巧克力慕斯蛋糕。 零。,沒問題！ 三。
可以請你拿毛衣給我看看嗎？ 四。,當然可以，先生。我們這裏有很多款式。 零。
當然可以，先生。我們這裏有很多款式。 零。,對不起。我想要女生穿的毛衣，不是男生的。 零。
對不起。我想要女生穿的毛衣，不是男生的。 零。,喔，我知道了。女用毛衣在這。 零。
您想要 V 字領的還是翻折式高領的樣式？ 四。,翻折式高領的樣式。 零。
翻折式高領的樣式。 零。,這些有您喜歡的嗎？ 四。
這些有您喜歡的嗎？ 四。,那件很不錯。多少錢？ 四。
那件很不錯。多少錢？ 四。,一百六十九元。 零。
一百六十九元。 零。,比我想的還要貴。 你有便宜點的嗎？ 四。
比我想的還要貴。 你有便宜點的嗎？ 四。,當然有，先生。你預算多少？ 四。
當然有，先生。你預算多少？ 四。,我想要一百元以下的。 零。
我想要一百元以下的。 零。,既然這樣，我大力推薦這一件。 它只超出您的預算五元，而且物超所值。 零。
既然這樣，我大力推薦這一件。 它只超出您的預算五元，而且物超所值。 零。,好的。我就買這件。 零。
我們可以看一下廚房嗎？ 四。,當然。這邊請。 零。
當然。這邊請。 零。,哦，廚房好寬敞。 零。
哦，廚房好寬敞。 零。,是的。我就知道妳會喜歡。 零。
是的。我就知道妳會喜歡。 零。,這台冰箱是新的嗎？ 四。
這台冰箱是新的嗎？ 四。,是的，它是全新的。 零。
是的，它是全新的。 零。,嗯…還有一個問題︰這棟大樓裏可以養狗嗎？ 四。
嗯…還有一個問題︰這棟大樓裏可以養狗嗎？ 四。,狗？我想是可以的。 三。
狗？我想是可以的。 三。,我們什麼時候可以搬進來？ 四。
我們什麼時候可以搬進來？ 四。,隨時。 零。
隨時。 零。,如果你覺得可以的話，我們想明天就搬進來。 零。
如果你覺得可以的話，我們想明天就搬進來。 零。,沒問題。 我想請你們預付兩個月的租金，外加八百元的損毀押金，你們搬走時就會退還給你們。 三。
先生，我能為您效勞嗎？ 四。,是的，我想買一套客廳傢俱。 零。
是的，我想買一套客廳傢俱。 零。,請到這邊來。 我們有非常多的選擇。 零。
請到這邊來。 我們有非常多的選擇。 零。,這張桌子是用什麼做的？ 四。
這張桌子是用什麼做的？ 四。,是這張嗎？ 四。
是這張嗎？ 四。,不是，是那邊那張。 零。
不是，是那邊那張。 零。,它是楓木做的。 零。
它是楓木做的。 零。,哦，我喜歡這張沙發。 它像床一樣舒服。 零。
哦，我喜歡這張沙發。 它像床一樣舒服。 零。,嗯，這是一張床。 我的意思是，它可以變成一張床。 零。
嗯，這是一張床。 我的意思是，它可以變成一張床。 零。,真是方便！我買了。 可以分期付款嗎？ 四。
真是方便！我買了。 可以分期付款嗎？ 四。,可以。您可以分十二個月輕鬆付款。 三。
希爾頓飯店。我能為您效勞嗎？ 四。,是的，我想預訂一間明天的房間。 零。
是的，我想預訂一間明天的房間。 零。,您想要什麼樣的房間？ 八。
您想要什麼樣的房間？ 八。,一間雙人房。 零。
先生，您打算住多久？ 四。,三天。 房間的價錢是多少？ 四。
三天。 房間的價錢是多少？ 四。,一個晚上一百一十九元。 零。
一個晚上一百一十九元。 零。,包括餐費嗎？ 四。
包括餐費嗎？ 四。,是的，我們在中層樓有免費的自助式早餐供應。 零。
是的，我們在中層樓有免費的自助式早餐供應。 零。,這樣很好。 零。
這樣很好。 零。,請問尊姓大名？ 四。
請問尊姓大名？ 四。,我叫約翰．史密斯。 零。
我叫約翰．史密斯。 零。,謝謝您，史密斯先生。我們期盼您的光臨。 零。
客房服務部。我能幫您什麼忙？ 四。,晚安。我是一二三號房的約翰．史密斯。 零。
晚安。我是一二三號房的約翰．史密斯。 零。,什麼事，先生？ 四。
什麼事，先生？ 四。,你們能幫我一個忙嗎？ 四。
你們能幫我一個忙嗎？ 四。,若能幫忙，我很樂意服務，史密斯先生。 零。
若能幫忙，我很樂意服務，史密斯先生。 零。,請在明天早上六點鐘打電話叫醒我，好嗎？ 四。
請在明天早上六點鐘打電話叫醒我，好嗎？ 四。,當然可以。 三。
當然可以。 三。,謝謝。那麼早你們供應早餐了嗎？ 四。
謝謝。那麼早你們供應早餐了嗎？ 四。,是的，先生。您可以在您房間裏吃早餐或在餐廳裏吃自助式早餐。 零。
是的，先生。您可以在您房間裏吃早餐或在餐廳裏吃自助式早餐。 零。,好。還有一件事，今天晚上我需要多一條毛毯。 零。
好。還有一件事，今天晚上我需要多一條毛毯。 零。,沒問題，史密斯先生。 我馬上送一條上去。 三。
櫃台服務員，早安。 零。,早安。我是一二三號房的約翰．史密斯。 我準備要離開了。 請派一個行李員來搬我的行李，好嗎？ 四。
早安。我是一二三號房的約翰．史密斯。 我準備要離開了。 請派一個行李員來搬我的行李，好嗎？ 四。,好的，先生。馬上就來。 三。
先生，我能為您效勞嗎？ 四。,是的，我要退房。 零。
是的，我要退房。 零。,您的房間號碼和鑰匙呢？ 四。
您的房間號碼和鑰匙呢？ 四。,一二三號房。這是我的鑰匙。 零。
一二三號房。這是我的鑰匙。 零。,先生，這是您的帳單。 請您核對一下好嗎？ 四。
先生，這是您的帳單。 請您核對一下好嗎？ 四。,看來沒錯。 你們收旅行支票嗎？ 四。
看來沒錯。 你們收旅行支票嗎？ 四。,當然了，先生。 三。
當然了，先生。 三。,旅行支票給你。 零。
我想租輛車。 零。,您想要什麼樣的車？小型轎車還是普通轎車？ 四。
您想要什麼樣的車？小型轎車還是普通轎車？ 四。,我想要輛小型車。 零。
我想要輛小型車。 零。,這是我們的汽車目錄。 零。
這是我們的汽車目錄。 零。,我喜歡這輛。 零。
我喜歡這輛。 零。,好的。您要租多久？ 四。
好的。您要租多久？ 四。,大約一個星期。租金多少？ 四。
大約一個星期。租金多少？ 四。,一天二十九美元，不限哩數。 零。
一天二十九美元，不限哩數。 零。,包括保險嗎？ 四。
包括保險嗎？ 四。,是的。 我可以看看您的駕駛執照嗎？ 四。
是的。 我可以看看您的駕駛執照嗎？ 四。,當然可以。我有一張國際駕駛執照，這是我的信用卡。 三。
當然可以。我有一張國際駕駛執照，這是我的信用卡。 三。,好的。請填一下這張表，您就可以上路了。 零。
您要加哪一種汽油？ 四。,我不太清楚。這是租來的車，而且是我第一次加油。 零。
我不太清楚。這是租來的車，而且是我第一次加油。 零。,我們有普通汽油，特級汽油和高級汽油。這是新車，所以我建議您加高級汽油。 零。
我們有普通汽油，特級汽油和高級汽油。這是新車，所以我建議您加高級汽油。 零。,謝謝。請加滿。 一。
謝謝。請加滿。 一。,好的，先生。 零。
需要清潔一下擋風玻璃嗎？ 四。,好的，謝謝。 一。
可否幫我檢查一下水箱，機油和輪胎？ 四。,沒問題。 三。
沒問題。 三。,這兒有洗手間嗎？ 四。
這兒有洗手間嗎？ 四。,有的，先生。在那邊。 零。
您的車好了。 加了點水，機油和輪胎沒問題。 零。,好。一共多少錢？ 四。
好。一共多少錢？ 四。,九加侖特級汽油。 一共是十五元三角兩分美元。 零。
女士，您好。我能為您效勞嗎？ 四。,我這個東西可以退錢嗎？ 四。
我這個東西可以退錢嗎？ 四。,有什麼不對嗎？ 四。
有什麼不對嗎？ 四。,有啊，這個部分有瑕疵。 我買的時候沒有註意到。 零。
有啊，這個部分有瑕疵。 我買的時候沒有註意到。 零。,哦，真抱歉。 我可以看看您的發票嗎？ 四。
哦，真抱歉。 我可以看看您的發票嗎？ 四。,可以，在這兒。 三。
很抱歉，女士。您的退款期限十天前就過了。 七。,差十天有什麼關係？ 四。
差十天有什麼關係？ 四。,雖然您不能退錢，但我可以讓您換另一件或任何其他東西。 零。
雖然您不能退錢，但我可以讓您換另一件或任何其他東西。 零。,你有和這件完全一模一樣顏色、樣式、尺寸的嗎？ 四。
你有和這件完全一模一樣顏色、樣式、尺寸的嗎？ 四。,我看看… 嗯。這件的式樣和尺寸是一模一樣，但是顏色不一樣。 零。
我看看… 嗯。這件的式樣和尺寸是一模一樣，但是顏色不一樣。 零。,哦，看來我別無選擇了。 你可以幫我訂一件相同顏色的嗎？ 四。
哦，看來我別無選擇了。 你可以幫我訂一件相同顏色的嗎？ 四。,我當然可以試試。 請稍等。 三。
我要寄這封信到紐約。 零。,航空信還是平信？ 四。
航空信還是平信？ 四。,平信。 零。
你知道到紐約的航空信費率是多少嗎？ 四。,第一盎司三角兩分，之後每加一盎司是兩角六分。 零。
寄航空信到那裡要多久？ 四。,通常要花三或四天的時間。 零。
通常要花三或四天的時間。 零。,好的。我要寄航空信，而且還要掛號。 三。
妳也要保險嗎？ 四。,不用，裡面只有一張支票和一張照片。 這封信的郵費是多少？ 四。
不用，裡面只有一張支票和一張照片。 這封信的郵費是多少？ 四。,一元八角三分美金。 零。
一元八角三分美金。 零。,好的。給你 三。
好的。給你 三。,這是妳的收據。 零。
女士，午安。 零。,午安。我約好四點鐘燙髮。 零。
午安。我約好四點鐘燙髮。 零。,哦，好的，請坐。 零。
哦，好的，請坐。 零。,謝謝。 一。
妳想燙哪一種髮型？ 四。,你有哪幾種？ 四。
你有哪幾種？ 四。,哦，我們有很多種：一般燙髮、冷燙、平板燙及泡沫燙。 零。
哦，我們有很多種：一般燙髮、冷燙、平板燙及泡沫燙。 零。,今天我想試一下泡沫燙。 零。
今天我想試一下泡沫燙。 零。,好的。請坐到這邊來。 三。
你能把捲度弄得比平常大一些嗎？ 四。,沒問題，女士。 三。
請問先生晚餐想吃點什麼？ 九。,我們預訂了低脂餐。 請問能挑選主菜嗎？ 四。
我們預訂了低脂餐。 請問能挑選主菜嗎？ 四。,可以，今天提供烤蝦肉飯和燒雞肉麵。 三。
可以，今天提供烤蝦肉飯和燒雞肉麵。 三。,我要雞肉。 四。
我要雞肉。 四。,好的 三。
附餐是什麼？ 四。,配菜、沙拉、麵包捲，甜點是優格。晚餐後要來杯酒嗎？ 九。
配菜、沙拉、麵包捲，甜點是優格。晚餐後要來杯酒嗎？ 九。,當然，我們要慶祝一下。 這是我們的二度蜜月， 要好好享受一下。 三。
當然，我們要慶祝一下。 這是我們的二度蜜月， 要好好享受一下。 三。,恭喜。 零。
白酒或紅酒？ 九。,給我們兩杯白酒。 零。
給我們兩杯白酒。 零。,好的，先生。 三。
嘿，請問要點些什麼？ 九。,我要一個雙層起司堡、薯條和奶昔。 零。
我要一個雙層起司堡、薯條和奶昔。 零。,奶昔要什麼口味？ 九。
奶昔要什麼口味？ 九。,草莓。 零。
草莓。 零。,總共是六塊九毛八。 零。
總共是六塊九毛八。 零。,給你十元。 零。
給你十元。 零。,內用或外帶？ 四。
內用或外帶？ 四。,內用。 零。
內用。 零。,找你三塊兩毛。謝謝你。用餐愉快！ 一。
強森先生，晚安。您要先來點飲料嗎？ 九。,好的，請先拿菜單給我看一下。 零。
好的，請先拿菜單給我看一下。 零。,菜單來了，請慢慢參考才決定。 九。
我先來杯台灣啤酒吧 零。,要生啤酒還是瓶裝的呢？ 四。
要生啤酒還是瓶裝的呢？ 四。,生啤酒，謝謝。 一。
生啤酒，謝謝。 一。,不客氣。 零。
您點的啤酒來了。等會兒您要點菜時我就過來。 零。,好的謝謝。 一。
這裡是雲端咖啡館，我能為您效勞嗎？ 四。,我想預約今晚晚餐餐位。 零。
我想預約今晚晚餐餐位。 零。,您們有幾位？ 八。
您們有幾位？ 八。,兩位。 零。
兩位。 零。,吸煙或非吸煙區？ 四。
吸煙或非吸煙區？ 四。,非吸煙區。 零。
非吸煙區。 零。,請問大名是？ 四。
我是小明，我住2266房。 零。,好的，小明先生。您的大名已記在我們的預約單上了。晚餐八點開始服務。我們營業到晚上十點。 三。
好的，小明先生。您的大名已記在我們的預約單上了。晚餐八點開始服務。我們營業到晚上十點。 三。,好的，謝謝。 四。
好的，謝謝。 四。,感謝您的來電。 四。
我可以幫你點餐嗎？ 九。,今天的特餐是甚麼？ 四。
今天的特餐是甚麼？ 四。,今天的特餐是炸魚。 九。
今天的特餐是炸魚。 九。,那我要一個特餐。 零。
你想現在點餐嗎？ 九。,我可以要多幾分鐘嗎？ 四。
我可以要多幾分鐘嗎？ 四。,當然。我等下再回來。 三。
我可以幫你點餐嗎？ 九。,你有甚麼建議嗎？ 零。
你有甚麼建議嗎？ 零。,我們的黑咖啡很不錯的。 九。
我們的黑咖啡很不錯的。 九。,Ok， 那我要黑咖啡吧。 零。
Ok， 那我要黑咖啡吧。 零。,好的，你的黑咖啡要加糖嗎？ 四。
好的，你的黑咖啡要加糖嗎？ 四。,不用，謝謝。 一。
我可以幫你點餐嗎？ 九。,你們有素食的選擇嗎？ 四。
你們有素食的選擇嗎？ 四。,當然，我拿一個素食菜單給你。 零。
當然，我拿一個素食菜單給你。 零。,謝謝。 一。
謝謝。 一。,這是我們的素食菜單，我給你一點時間。 零。
這是我們的素食菜單，我給你一點時間。 零。,謝謝。 一。
請問您已經用完了還是還在吃呢？ 四。,我已經用餐完畢了。 零。
我可以將剩下的晚餐帶走嗎？ 四。,當然！ 我馬上回來！  三。
有沒有興趣來些甜點呢？ 九。,您能不能給我們你們的甜點單呢？ 四。
您能不能給我們你們的甜點單呢？ 四。,當然！ 我馬上回來！ 九。
我想點白巧克力慕斯蛋糕。 零。,沒問題！ 三。
服務領班，我要辦退房了。請幫我搬行李。 零。,好。請問您房間幾號？ 四。
好的﹐2266號房。馬上派人上去。 三。,請十一點半過來。 零。
請十一點半過來。 零。,行李員會準時過去。 零。
你好，我想要點餐。 零。,歡迎光臨，請問今天想要什麽呢？ 九。
歡迎光臨，請問今天想要什麽呢？ 九。,我想要一杯義式咖啡。 零。
我想要一杯義式咖啡。 零。,好的，請問要冰的還是熱的呢？ 九。
好的，請問要冰的還是熱的呢？ 九。,冰的。 零。
冰的。 零。,知道了，一杯義式咖啡少冰。 九。
還有需要其他的東西嗎？ 九。,那再來一份貝果好了。 零。
那再來一份貝果好了。 零。,請問要什麽口味呢？ 九。
請問要什麽口味呢？ 九。,草莓口味。 零。
草莓口味。 零。,好的，總共是一杯義式咖啡少冰和草莓貝果對嗎？ 九。
好的，總共是一杯義式咖啡少冰和草莓貝果對嗎？ 九。,對的。 零。
先生，歡迎你。有什麽我可以幫你嗎？ 四。,是的，我想去美國度假。 九。
是的，我想去美國度假。 九。,沒問題。事實上，我們有一些很棒的套餐。 零。
你好，我想要點餐。 零。,歡迎你。有什麽我可以幫你嗎？ 九。
歡迎你。有什麽我可以幫你嗎？ 九。,我想要一杯卡布奇諾。 零。
我想要一杯卡布奇諾。 零。,好的，請問要冰的還是熱的呢？ 九。
好的，請問要冰的還是熱的呢？ 九。,冰的。 零。
冰的。 零。,知道了，一杯卡布其諾少冰。 九。
你好，我要報到。 零。,好的。請問是住哪一間房呢？ 九。
202號房。 零。,好的。我知道了，這是你的房卡。 零。
好的。我知道了，這是你的房卡。 零。,謝謝你。 零。
打擾了，我想嘗嘗中國菜。 零。,我們這裏有很好的中國菜。您喜歡什麽風味？ 九。
我們這裏有很好的中國菜。您喜歡什麽風味？ 九。,我對中國菜一無所知。您能給我一些建議嗎？ 四。
我對中國菜一無所知。您能給我一些建議嗎？ 四。,中國菜分成八大菜系，如粵菜、魯菜和川菜等等。 零。
中國菜分成八大菜系，如粵菜、魯菜和川菜等等。 零。,有什麽不同嗎？ 四。
有什麽不同嗎？ 四。,粵菜清淡適中，而魯菜則味重香濃。 零。
粵菜清淡適中，而魯菜則味重香濃。 零。,川菜怎麽樣？ 四。
川菜怎麽樣？ 四。,川菜大都麻辣濃香。 零。
川菜大都麻辣濃香。 零。,噢，其實我喜歡吃辣一點的。所以您推薦我吃什麽？ 四。
噢，其實我喜歡吃辣一點的。所以您推薦我吃什麽？ 四。,我覺得麻婆豆腐和魚香肉絲味道不錯。我們有四川菜餐廳。可以建議您去那裏嗎？它在三樓。 零。
我覺得麻婆豆腐和魚香肉絲味道不錯。我們有四川菜餐廳。可以建議您去那裏嗎？它在三樓。 零。,謝謝您。 二。
謝謝您。 二。,很高興為您服務。 一。
能為您提供什麽服務？ 四。,嗯，我想為晚餐預訂一張桌子。 零。
嗯，我想為晚餐預訂一張桌子。 零。,您預計你們一共多少人？ 八。
您預計你們一共多少人？ 八。,12人。 零。
12人。 零。,您想訂個包間嗎？ 八。
您想訂個包間嗎？ 八。,聽起來是個好主意。 零。
聽起來是個好主意。 零。,好的。先生，請問您的姓名？ 八。
好的。先生，請問您的姓名？ 八。,我的名字是王大明。 零。
我的名字是王大明。 零。,你們會幾點到？ 八。
好的先生，我們已經為您在晚上7：30預留了一個包間。 零。,非常感謝。 零。
晚上好，您訂座位了嗎？ 八。,沒有。 零。
沒有。 零。,你們一共多少人？ 八。
你們一共多少人？ 八。,就兩位。 零。
就兩位。 零。,你們要吸煙區還是非吸煙區，或是有空位就行？ 八。
你們要吸煙區還是非吸煙區，或是有空位就行？ 八。,我們要非吸煙區。 零。
我們要非吸煙區。 零。,十分抱歉，現在非吸煙區還暫時沒有座位。您能稍等一會兒嗎？ 四。
十分抱歉，現在非吸煙區還暫時沒有座位。您能稍等一會兒嗎？ 四。,我們要等多長時間？ 四。
我們要等多長時間？ 四。,我想大約十分鐘。 零。
我想大約十分鐘。 零。,好吧，那我們就等一會兒。 零。
這是什麽呀？我點的不是這個菜。 五。,實在是太抱歉了，您再講一下您點的是什麽好嗎？我馬上去換您的菜。 六。
實在是太抱歉了，您再講一下您點的是什麽好嗎？我馬上去換您的菜。 六。,我叫的是美味豬肉和涼拌卷心菜。 五。
我叫的是美味豬肉和涼拌卷心菜。 五。,對不起，是我的錯。我馬上把您的菜端上來。 六。
對不起，是我的錯。我馬上把您的菜端上來。 六。,餵，這是什麽？ 五。
餵，這是什麽？ 五。,對不起，小姐。這不是您叫的雞湯嗎？ 四。
對不起，小姐。這不是您叫的雞湯嗎？ 四。,噢，就是這個？ 五。
噢，就是這個？ 五。,我想是的。不過如果您覺得喝得不舒服的話，我可以給您換一個。 六。
我想是的。不過如果您覺得喝得不舒服的話，我可以給您換一個。 六。,不用換了，給我退錢吧。 五。
不用換了，給我退錢吧。 五。,抱歉，這恐怕不行。但您可以叫個其他的菜來代替。 零。
抱歉，這恐怕不行。但您可以叫個其他的菜來代替。 零。,噢，真的嗎？給我來個蛤蜊湯。 五。
噢，真的嗎？給我來個蛤蜊湯。 五。,好的，小姐。 零。
好的，小姐。 零。,謝謝。 零。
謝謝。 零。,希望您吃的開心。 零。
嘿！食物很美味。我一口也吃不下去了。你確定你不要再來一道菜？ 四。,不，我飽了。我的肚子已經不咕咕叫了。 零。
不，我飽了。我的肚子已經不咕咕叫了。 零。,我明白你的意思。我飽到快要爆炸了。那麽我們走了嗎？ 四。
我明白你的意思。我飽到快要爆炸了。那麽我們走了嗎？ 四。,我吃飽了。謝謝你的晚餐。 零。
我吃飽了。謝謝你的晚餐。 零。,不客氣。 零。
你好，我想吃點東西。 零。,歡迎，想吃什麽呢？ 九。
歡迎，想吃什麽呢？ 九。,你們這有什麽推薦的？ 四。
你們這有什麽推薦的？ 四。,我們這有貝果，蛋糕，茶點。 九。
我們這有貝果，蛋糕，茶點。 九。,那來一份草莓貝果。 零。
那來一份草莓貝果。 零。,總共是一份草莓貝果對嗎？ 九。
總共是一份草莓貝果對嗎？ 九。,對的。 零。
對的。 零。,還有需要其他的東西嗎？ 九。
還有需要其他的東西嗎？ 九。,不用，謝謝。 零。
不用，謝謝。 零。,好的。請稍等。 零。
服務員，能過來一下嗎？ 四。,好的，有什麽問題嗎？ 四。
好的，有什麽問題嗎？ 四。,恐怕你搞錯了，這不是我點的菜。 五。
