先生，早，歡迎光臨本店。 三。,您好，總共兩位。 零。
你想要混合飲料還是在巖石上？ 九。,我希望它融為一體。 零。
我希望它融為一體。 零。,你想要鹽還是鹽？ 九。
你想要鹽還是鹽？ 九。,我想要沒有鹽的瑪格麗塔，謝謝。 零。
當你在想什麽時候可以訂購晚餐時，你想訂購飲料嗎？ 九。,你能告訴我你的酒單在哪裏嗎？ 九。
你能告訴我你的酒單在哪裏嗎？ 九。,酒單就是貼在董事會上。 九。
酒單就是貼在董事會上。 九。,我們可以在這家餐廳點一杯混合飲料嗎？ 九。
我們可以在這家餐廳點一杯混合飲料嗎？ 九。,是的，我們的酒吧提供各種混合飲料。 零。
是的，我們的酒吧提供各種混合飲料。 零。,你有可以推薦的房子特價嗎？ 九。
我們最受歡迎的飲品是我們的Cuervo Gold margaritas。 九。,這對我來說聽起來不錯。我可以請一個嗎？ 九。
這對我來說聽起來不錯。我可以請一個嗎？ 九。,我可以把它帶到巖石上，還是你喜歡混合？ 九。
我可以把它帶到巖石上，還是你喜歡混合？ 九。,請把它帶到巖石上。 零。
請把它帶到巖石上。 零。,鹽還是鹽？ 九。
鹽還是鹽？ 九。,我希望它沒有鹽。 零。
我可以點一下飲料嗎？ 九。,你的酒單在哪裏？ 九。
你的酒單在哪裏？ 九。,葡萄酒的選擇張貼在桌子中間的小菜單上。 九。
葡萄酒的選擇張貼在桌子中間的小菜單上。 九。,這裏有混合飲料嗎？ 九。
這裏有混合飲料嗎？ 九。,我們可以在酒吧裏制作一些混合飲料。 零。
我們可以在酒吧裏制作一些混合飲料。 零。,我聽說你以喝酒聞名。你的特色是什麽？ 四。
我們的房子特別是我們的Cuervo Gold margarita。 零。,我現在很喜歡瑪格麗塔！這就是我要訂購的東西。 九。
我現在很喜歡瑪格麗塔！這就是我要訂購的東西。 九。,我可以在巖石上準備你的飲料，還是你喜歡混合飲料？ 九。
我可以在巖石上準備你的飲料，還是你喜歡混合飲料？ 九。,拜托，我更喜歡巖石上的瑪格麗塔酒。 零。
拜托，我更喜歡巖石上的瑪格麗塔酒。 零。,你喜歡加鹽還是不加鹽的瑪格麗塔？ 九。
你喜歡加鹽還是不加鹽的瑪格麗塔？ 九。,請不要加鹽。 零。
你喜歡吃飯嗎？ 四。,是的，我們真的很喜歡它。 零。
是的，我們真的很喜歡它。 零。,我可以在一些甜點中感興趣嗎？ 零。
我可以在一些甜點中感興趣嗎？ 零。,是的，聽起來不錯。 零。
是的，聽起來不錯。 零。,我們有特制的巧克力慕斯蛋糕和香辣朗姆酒蘋果酥。 零。
我們有特制的巧克力慕斯蛋糕和香辣朗姆酒蘋果酥。 零。,蘋果酥脆聽起來很棒。 零。
蘋果酥脆聽起來很棒。 零。,既然有四個人，你想分開第二個甜點嗎？ 九。
既然有四個人，你想分開第二個甜點嗎？ 九。,好建議。你能帶給我們一塊巧克力慕斯蛋糕和四個甜點叉嗎？ 零。
好建議。你能帶給我們一塊巧克力慕斯蛋糕和四個甜點叉嗎？ 零。,你想要點心的咖啡或茶嗎？ 九。
你想要點心的咖啡或茶嗎？ 九。,拜托，我們要喝四杯咖啡。 九。
拜托，我們要喝四杯咖啡。 九。,OK。我將帶著你的甜點和飲料回來。 零。
OK。我將帶著你的甜點和飲料回來。 零。,謝謝！我們真的很享受這裏的美食。 零。
那你的飯怎麽樣？ 四。,我們的飯很棒！ 二。
我們的飯很棒！ 二。,你想和我們一起吃甜點嗎？ 四。
你想和我們一起吃甜點嗎？ 四。,我吃飽了，但也許我們可以分一些甜點。 零。
我吃飽了，但也許我們可以分一些甜點。 零。,今晚的甜點特色包括巧克力慕斯蛋糕和辣朗姆酒蘋果脆。 零。
今晚的甜點特色包括巧克力慕斯蛋糕和辣朗姆酒蘋果脆。 零。,我很喜歡蘋果脆。 零。
我很喜歡蘋果脆。 零。,這是一個不錯的選擇，但是你願意為你們四個人分一杯甜點嗎？ 四。
這是一個不錯的選擇，但是你願意為你們四個人分一杯甜點嗎？ 四。,加入巧克力慕斯蛋糕，我們很好。我們還需要四個甜點叉。 零。
加入巧克力慕斯蛋糕，我們很好。我們還需要四個甜點叉。 零。,我可以帶點甜點的咖啡或茶嗎？ 九。
我可以帶點甜點的咖啡或茶嗎？ 九。,我們想要兩杯咖啡和兩杯茶。 九。
我們想要兩杯咖啡和兩杯茶。 九。,我會把你的甜點訂單放進去，然後回來喝你的飲料。 九。
我會把你的甜點訂單放進去，然後回來喝你的飲料。 九。,謝謝，當你回來的時候我們可以檢查一下嗎？我們有劇院門票，需要很快離開。 零。
你的餐是否符合你的要求？ 零。,我們的飯菜絕對完美！ 零。
我們的飯菜絕對完美！ 零。,一頓美味的甜點怎麽樣？ 四。
一頓美味的甜點怎麽樣？ 四。,甜點聽起來很完美，但我想和朋友分開。 零。
甜點聽起來很完美，但我想和朋友分開。 零。,在今晚的甜點清單上，我們有巧克力慕斯蛋糕和辛辣朗姆酒蘋果酥。 零。
在今晚的甜點清單上，我們有巧克力慕斯蛋糕和辛辣朗姆酒蘋果酥。 零。,我認為蘋果酥脆會很棒。 零。
我認為蘋果酥脆會很棒。 零。,一個甜點將服務兩個，所以你想分裂第二個？ 零。
一個甜點將服務兩個，所以你想分裂第二個？ 零。,我們還想要一塊巧克力慕斯蛋糕。你能給我們帶四個甜點叉嗎？ 九。
我們還想要一塊巧克力慕斯蛋糕。你能給我們帶四個甜點叉嗎？ 九。,你的甜點咖啡和茶怎麽樣？ 四。
你的甜點咖啡和茶怎麽樣？ 四。,我們都是喝茶的人。請給我們帶四茶。 零。
我們都是喝茶的人。請給我們帶四茶。 零。,我會準備你的甜點，並讓別人立刻帶給你飲料。 零。
我會準備你的甜點，並讓別人立刻帶給你飲料。 零。,熱飲首先會很棒。謝謝！ 零。
這是你的早餐！ 零。,非常感謝。 零。
小姐，我相信我命令我的雞蛋亂了，這些都是油炸的。 五。,對不起，你那邊的朋友點了炒雞蛋，我誤給你了。 六。
對不起，你那邊的朋友點了炒雞蛋，我誤給你了。 六。,哦，是的。在這裏，我將與他交易。 零。
哦，是的。在這裏，我將與他交易。 零。,先生，這是你的煎餅。 零。
先生，這是你的煎餅。 零。,但我點了華夫餅！ 五。
但我點了華夫餅！ 五。,我很抱歉！ 六。
我很抱歉！ 六。,沒關系。我會吃我的雞蛋和培根，你可以拿回我的煎餅。 五。
沒關系。我會吃我的雞蛋和培根，你可以拿回我的煎餅。 五。,好的，先生。我馬上就會照顧好。 六。
好的，先生。我馬上就會照顧好。 六。,非常感謝你！ 一。
我相信你點了大滿貫早餐。 零。,哦，好！你知道，我正在看我的盤子，我點了炒雞蛋，沒炒。 零。
哦，好！你知道，我正在看我的盤子，我點了炒雞蛋，沒炒。 零。,我剛註意到我不小心把你朋友的早餐帶給了你。 零。
我剛註意到我不小心把你朋友的早餐帶給了你。 零。,我可以和他交易，謝謝。 零。
我可以和他交易，謝謝。 零。,還有煎餅給你，先生。 零。
還有煎餅給你，先生。 零。,對不起，我想我點了華夫餅。 五。
對不起，我想我點了華夫餅。 五。,對不起，我聽錯了你。 六。
對不起，我聽錯了你。 六。,請把我的煎餅換成華夫餅。在我等待的時候，我會吃我的培根和雞蛋。 五。
請把我的煎餅換成華夫餅。在我等待的時候，我會吃我的培根和雞蛋。 五。,我會用你的華夫餅直接回到你身邊。 六。
我會用你的華夫餅直接回到你身邊。 六。,我很感激。 零。
給你一個大滿貫早餐！ 零。,謝謝。你知道，我剛註意到這些雞蛋都是油炸的，我點了炒蛋。 五。
謝謝。你知道，我剛註意到這些雞蛋都是油炸的，我點了炒蛋。 五。,謝謝你指出了這一點。我錯誤地給了你朋友的早餐。 零。
謝謝你指出了這一點。我錯誤地給了你朋友的早餐。 零。,沒問題。我可以跟他交易我的盤子。 零。
沒問題。我可以跟他交易我的盤子。 零。,為您特別訂購香蕉煎餅！ 零。
為您特別訂購香蕉煎餅！ 零。,煎餅？我不喜歡煎餅。我點了華夫餅。 五。
煎餅？我不喜歡煎餅。我點了華夫餅。 五。,對不起，先生！ 六。
對不起，先生！ 六。,當你把我的煎餅換成華夫餅時，我可以吃我的培根和雞蛋。 五。
當你把我的煎餅換成華夫餅時，我可以吃我的培根和雞蛋。 五。,我現在就把那些煎餅換成華夫餅。 六。
我現在就把那些煎餅換成華夫餅。 六。,那會照顧它，謝謝。 零。
多麽美妙的晚餐！ 二。,謝謝。我很高興你很享受。 二。
謝謝。我很高興你很享受。 二。,你從哪裏得到了很棒的食譜？ 四。
你從哪裏得到了很棒的食譜？ 四。,我從小做飯。我母親和我分享了她的食譜。 零。
我從小做飯。我母親和我分享了她的食譜。 零。,我特別喜歡這道美味的雞肉菜肴。 零。
我特別喜歡這道美味的雞肉菜肴。 零。,那是一道特別的椰子姜雞飯。 零。
那是一道特別的椰子姜雞飯。 零。,那湯裏的蝦？ 四。
那湯裏的蝦？ 四。,是的，你喜歡嗎？我加了一點額外的檸檬草和一些海洋蔬菜。 零。
是的，你喜歡嗎？我加了一點額外的檸檬草和一些海洋蔬菜。 零。,我很高興我帶給你的葡萄酒適合這頓飯。 零。
我很高興我帶給你的葡萄酒適合這頓飯。 零。,是的，謝謝你帶來的葡萄酒。它真的補充了這頓飯。 零。
這是一頓美餐！ 二。,謝謝。我很高興所有事情都如此順利。 二。
謝謝。我很高興所有事情都如此順利。 二。,誰教你如何做好這個？ 四。
誰教你如何做好這個？ 四。,我在烹飪學院上了一堂烹飪課。 零。
我在烹飪學院上了一堂烹飪課。 零。,哇，這個雞肉菜是什麽？ 四。
哇，這個雞肉菜是什麽？ 四。,那不是很好嗎？那是椰子姜雞飯。 零。
那不是很好嗎？那是椰子姜雞飯。 零。,這湯是蝦湯嗎？ 四。
這湯是蝦湯嗎？ 四。,是的，那裏有蝦和海洋蔬菜和檸檬草。 零。
是的，那裏有蝦和海洋蔬菜和檸檬草。 零。,我覺得我很幸運能選擇一種與這頓飯融為一體的葡萄酒。 二。
我覺得我很幸運能選擇一種與這頓飯融為一體的葡萄酒。 二。,我很感謝你帶來的葡萄酒。它適合雞肉。 二。
我真的很喜歡這頓飯。 二。,謝謝。我希望你們都能享用這頓飯。 二。
謝謝。我希望你們都能享用這頓飯。 二。,你在哪裏學習烹飪這些神奇的菜肴？ 四。
你在哪裏學習烹飪這些神奇的菜肴？ 四。,我為我的生日準備了一本非常精彩的食譜，並決定嘗試一些食譜。 零。
我為我的生日準備了一本非常精彩的食譜，並決定嘗試一些食譜。 零。,雞是出這個世界！ 零。
雞是出這個世界！ 零。,我也喜歡這道菜。它是椰子雞飯。 二。
我也喜歡這道菜。它是椰子雞飯。 二。,我想知道湯裏是否有蝦。 四。
我想知道湯裏是否有蝦。 四。,是的，那湯有一個蝦基。我還加了海蔬菜和檸檬草。 零。
是的，那湯有一個蝦基。我還加了海蔬菜和檸檬草。 零。,很好，我帶來的葡萄酒似乎與這頓飯融為一體。 零。
很好，我帶來的葡萄酒似乎與這頓飯融為一體。 零。,我喜歡這款酒！雞肉很好吃。 二。
喬治，你的雞怎麽樣？ 四。,我的雞肉味道很好，但很幹。你的魚怎麽樣？ 零。
我的雞肉味道很好，但很幹。你的魚怎麽樣？ 零。,我的魚也很幹。 五。
我的魚也很幹。 五。,這幾乎就像這種食物已經坐了太久了。它似乎並不新鮮。 五。
這幾乎就像這種食物已經坐了太久了。它似乎並不新鮮。 五。,是的，對我來說似乎也是這樣。 零。
是的，對我來說似乎也是這樣。 零。,你的蔬菜怎麽樣？ 四。
你的蔬菜怎麽樣？ 四。,我的蔬菜非常潮濕。 五。
我的蔬菜非常潮濕。 五。,我的方式是一樣的。看起來他們已經過度烹飪了。 五。
我的方式是一樣的。看起來他們已經過度烹飪了。 五。,我通常不會抱怨，但我認為我們應該向服務員提一下。 五。
我通常不會抱怨，但我認為我們應該向服務員提一下。 五。,我同意。也許他們可以為我們帶來更好的食物。 五。
喬治，你的雞好嗎？ 四。,味道很好，但真的很幹。你的魚好嗎？ 四。
味道很好，但真的很幹。你的魚好嗎？ 四。,我的魚很幹。 五。
我的魚很幹。 五。,我想知道他們是否會在服務之前將它放置太久。 五。
我想知道他們是否會在服務之前將它放置太久。 五。,這正是我的想法。 零。
這正是我的想法。 零。,你的蔬菜好嗎？ 五。
你的蔬菜好嗎？ 五。,蔬菜有點糊狀。 零。
蔬菜有點糊狀。 零。,我的也是。我想他們讓他們做飯太久了。 五。
我的也是。我想他們讓他們做飯太久了。 五。,這裏的食物通常都很好，所以我想我們應該告訴服務員有問題。 五。
這裏的食物通常都很好，所以我想我們應該告訴服務員有問題。 五。,我認為你是對的。也許他們可以給我們一個免費的甜點或其他東西。 五。
你的雞肉味道還好嗎？ 四。,雞肉味道很好，但有點幹。你的魚好嗎？ 四。
雞肉味道很好，但有點幹。你的魚好嗎？ 四。,我的魚有很好的調味料，但有點幹。 五。
我的魚有很好的調味料，但有點幹。 五。,看起來好像他們忙著把它放在它到我們面前。 零。
看起來好像他們忙著把它放在它到我們面前。 零。,是的，也許他們今晚在廚房裏做空了。 零。
是的，也許他們今晚在廚房裏做空了。 零。,你的蔬菜有點糊狀嗎？ 四。
你的蔬菜有點糊狀嗎？ 四。,蔬菜似乎不是很新鮮。 五。
蔬菜似乎不是很新鮮。 五。,我的也不是那麽好。 五。
我的也不是那麽好。 五。,我通常喜歡這裏的飯菜，所以我想我們應該告訴服務員這頓飯有什麽問題。 五。
我通常喜歡這裏的飯菜，所以我想我們應該告訴服務員這頓飯有什麽問題。 五。,我想我們應該讓別人知道。他們可能想要解決問題。 五。
你想要一些甜點嗎？ 四。,不，謝謝。我們只需要支票。你見過女服務員了嗎？ 零。
不，謝謝。我們只需要支票。你見過女服務員了嗎？ 零。,我們的女服務員來檢查。 零。
我們的女服務員來檢查。 零。,這裏的服務真的很棒，你不覺得嗎？ 四。
這裏的服務真的很棒，你不覺得嗎？ 四。,是的，服務非常好。 二。
那麽，讓我們來看看支票。總價為3六。00美元。 九。,你認為我們應該留下多少小費？ 九。
通常人們會留下15％，但這是特殊的服務。我想也許20％是合適的。 零。,我同意20％的選擇是正確的。 零。
好的，所以這會讓她的小費達到七。20美元。加上3六。00美元，總價為4三。20美元。 九。,是的，真是個美味的晚餐！ 零。
是的，真是個美味的晚餐！ 零。,我們必須確保很快再次回到這裏。 零。
你想要更多咖啡嗎？ 四。,不，謝謝。我飽了。我們需要找到我們的女服務員並獲得我們的賬單。 九。
不，謝謝。我飽了。我們需要找到我們的女服務員並獲得我們的賬單。 九。,女服務員現在正在提起這項法案。 零。
女服務員現在正在提起這項法案。 零。,這位女服務員真的處在最重要的事情上，不是嗎？ 四。
這位女服務員真的處在最重要的事情上，不是嗎？ 四。,是的，這位女服務員做得很好。 零。
好的，讓我們看看損壞是什麽。我們的餐點總額為3六。00美元。 零。,你覺得什麽是適當的數量留下小費？ 四。
你覺得什麽是適當的數量留下小費？ 四。,百分之十五是正常的小費，但她確實做得很好。你這次20％的想法是什麽？ 四。
百分之十五是正常的小費，但她確實做得很好。你這次20％的想法是什麽？ 四。,是的，20％是完美的。 零。
她的小費將最終為七。20美元加上3六。00美元的賬單。總金額為4三。20美元。 九。,是的，這是一頓美妙的一餐！ 二。
是的，這是一頓美妙的一餐！ 二。,我同意。也許我們下周可以再來一次。 二。
你想訂購別的嗎？ 四。,不，我很好。我們現在需要的就是檢查。 九。
不，我很好。我們現在需要的就是檢查。 九。,即使我們說話，女服務員也會帶著我們的支票走過這裏。 零。
即使我們說話，女服務員也會帶著我們的支票走過這裏。 零。,我在這家餐廳從未有過糟糕的服務，但這次非常特別。 零。
我在這家餐廳從未有過糟糕的服務，但這次非常特別。 零。,是的，她真的不遺余力地為這種愉快的用餐體驗。 零。
我們來看看我們的賬單。我們的晚餐總價為3六。00美元。 九。,我們應該留出多少錢給小費？ 四。
我知道15％是正常的小費，但我真的以為這位服務員為我們走了。你怎麽看待她的20％？ 四。,她絕對應該獲得20％的小費。 零。
所以我們可以將她的小費七。20美元添加到3六。00美元的賬單中，總額將是4三。20美元。 九。,是的，多麽美妙的一餐！ 二。
是的，多麽美妙的一餐！ 二。,絕對是一頓美餐。我們有時候必須回到這裏吃午飯。 二。
你想要一些甜點嗎？ 四。,不，謝謝。我們只需要支票。你見過女服務員了嗎？ 四。
不，謝謝。我們只需要支票。你見過女服務員了嗎？ 四。,無論如何我們的女服務員在哪裏？ 四。
無論如何我們的女服務員在哪裏？ 四。,是的，這項服務並不是最好的。那是我們的女服務員嗎？ 四。
是的，這項服務並不是最好的。那是我們的女服務員嗎？ 四。,我會走過去買賬單，因為我不認為女服務員很快就會來這裏。 零。
我會走過去買賬單，因為我不認為女服務員很快就會來這裏。 零。,好主意。把它帶回來，我們會一起搞清楚。 零。
所以賬單是3六。00美元。 九。,你認為我們應該留下多少小費？ 四。
你認為我們應該留下多少小費？ 四。,我的第一個傾向是不留任何小費。 零。
我的第一個傾向是不留任何小費。 零。,我同意，但我們並不完全了解整個故事。廚房可能存在問題，超出了她的控制範圍。 零。
我同意，但我們並不完全了解整個故事。廚房可能存在問題，超出了她的控制範圍。 零。,讓我們留下10％，這樣我們至少可以為服務留下一些東西。 零。
讓我們留下10％，這樣我們至少可以為服務留下一些東西。 零。,我同意。我們將留下三。60美元的小費。 九。
你想要更多咖啡嗎？ 四。,不，謝謝。我飽了。我們需要找到我們的女服務員並獲得我們的賬單。 九。
不，謝謝。我飽了。我們需要找到我們的女服務員並獲得我們的賬單。 九。,祝你找到女服務員！ 零。
祝你找到女服務員！ 零。,今晚的服務很糟糕。那是我們的服務器嗎？ 五。
今晚的服務很糟糕。那是我們的服務器嗎？ 五。,我會去檢查，因為我們的服務器似乎沒有這種方式。 零。
我會去檢查，因為我們的服務器似乎沒有這種方式。 零。,好的。我會留在這裏，直到你回來。 零。
所以晚餐的總價是3六。00美元。 九。,你認為我們的女服務員應該得到多少小費？ 四。
你認為我們的女服務員應該得到多少小費？ 四。,我想知道如果服務沒有提示是否合適。 四。
我想知道如果服務沒有提示是否合適。 四。,我有點同樣的感覺，但他們今晚可能真的很缺人。 零。
我有點同樣的感覺，但他們今晚可能真的很缺人。 零。,我認為我們應該留下10％。 零。
我認為我們應該留下10％。 零。,$ 三。60將是小費的正確數額。 九。
你想訂購別的嗎？ 四。,不，我很好。我們現在需要的就是檢查。 零。
不，我很好。我們現在需要的就是檢查。 零。,我們的女服務員今晚有點稀缺，不是嗎？ 四。
我們的女服務員今晚有點稀缺，不是嗎？ 四。,我認為那是我們的酒吧服務員。男孩，今晚的服務還不好。 五。
我認為那是我們的酒吧服務員。男孩，今晚的服務還不好。 五。,她似乎沒有這樣的方向，所以我會去檢查。 零。
她似乎沒有這樣的方向，所以我會去檢查。 零。,好的。把它帶回去我們將它們合在一起。 零。
我們的晚餐總價為3六。00美元。 九。,你覺得提示的數量是多少？ 四。
你覺得提示的數量是多少？ 四。,我有點不想為我們收到的糟糕服務留下任何小費。 零。
我有點不想為我們收到的糟糕服務留下任何小費。 零。,我同意這是糟糕的服務，但我聽到其他一位服務員提到這是我們服務器工作的第一個晚上。 零。
我同意這是糟糕的服務，但我聽到其他一位服務員提到這是我們服務器工作的第一個晚上。 零。,我相信10％是正確的。 零。
我相信10％是正確的。 零。,我認為三。60美元的小費將是合適的離開金額。 九。
那麽，你是怎麽喜歡這家餐館的？ 四。,我覺得這很好。 二。
我覺得這很好。 二。,我覺得食物很棒。 二。
我覺得食物很棒。 二。,你最喜歡什麽？ 四。
你最喜歡什麽？ 四。,我最喜歡魚。 二。
我最喜歡魚。 二。,我也喜歡這條魚，但我最喜歡甜點。 二。
我也喜歡這條魚，但我最喜歡甜點。 二。,是的，澳洲堅果蛋糕很棒。 二。
是的，澳洲堅果蛋糕很棒。 二。,服務不是一流的嗎？ 四。
服務不是一流的嗎？ 四。,是的，服務員非常細心。 二。
是的，服務員非常細心。 二。,我希望很快能回到這家餐館。 二。
你喜歡這家餐館嗎？ 四。,非常好。 二。
非常好。 二。,食物很棒。 二。
食物很棒。 二。,你最喜歡的菜是什麽？ 四。
你最喜歡的菜是什麽？ 四。,魚是我的最愛。 二。
魚是我的最愛。 二。,是的，魚很棒，但甜點很棒。 二。
是的，魚很棒，但甜點很棒。 二。,我同意澳洲堅果蛋糕很棒。 二。
我同意澳洲堅果蛋糕很棒。 二。,你不覺得這項服務是最好的嗎？ 四。
你不覺得這項服務是最好的嗎？ 四。,是的，我們的服務員真的為我們走了。 二。
是的，我們的服務員真的為我們走了。 二。,我很快就想回到這家餐館。 二。
你覺得這家餐館怎麽樣？ 四。,我真的很喜歡！ 二。
我真的很喜歡！ 二。,我真的很喜歡這裏的食物。 二。
我真的很喜歡這裏的食物。 二。,你最喜歡什麽？ 四。
你最喜歡什麽？ 四。,我最喜歡這條魚。 二。
我最喜歡這條魚。 二。,魚很特別，但我很喜歡甜點。 二。
魚很特別，但我很喜歡甜點。 二。,澳洲堅果蛋糕是這個世界！ 二。
澳洲堅果蛋糕是這個世界！ 二。,我真的覺得這項服務特別好。 二。
我真的覺得這項服務特別好。 二。,是的，該服務確實增加了體驗。 二。
是的，該服務確實增加了體驗。 二。,我很期待回到這家餐廳。 二。
那你怎麽喜歡這家餐館？ 四。,實際上，本來可以更好。 零。
實際上，本來可以更好。 零。,你不喜歡什麽？ 四。
你不喜歡什麽？ 四。,這是一家新餐館。我認為他們沒有一起行動。 零。
這是一家新餐館。我認為他們沒有一起行動。 零。,你對食物有什麽看法？ 四。
你對食物有什麽看法？ 四。,我覺得食物很平庸。 零。
我覺得食物很平庸。 零。,服務也不是很好。 五。
服務也不是很好。 五。,我同意。服務不好。 五。
我同意。服務不好。 五。,你覺得你想再試一次這家餐館嗎？ 四。
你覺得你想再試一次這家餐館嗎？ 四。,不，我想我已經吃夠了這家餐館。 零。
你喜歡這家餐館嗎？ 四。,我真的不喜歡這麽多。 五。
我真的不喜歡這麽多。 五。,您認為問題是什麽？ 四。
您認為問題是什麽？ 四。,嗯，他們很新。我只是覺得他們還沒有準備好開放。 五。
嗯，他們很新。我只是覺得他們還沒有準備好開放。 五。,你對食物有什麽看法？ 四。
你對食物有什麽看法？ 四。,食物並不那麽令人興奮。 五。
食物並不那麽令人興奮。 五。,我認為服務也不好。 五。
我認為服務也不好。 五。,是的，這項服務肯定沒有增加經驗。 五。
是的，這項服務肯定沒有增加經驗。 五。,你想回到這家餐館嗎？ 四。
你想回到這家餐館嗎？ 四。,也許我們可以在事情穩定下來的幾個月內再試一次。 二。
你覺得那家餐館怎麽樣？ 四。,不是那麽好。 五。
不是那麽好。 五。,你最不喜歡什麽？ 四。
你最不喜歡什麽？ 四。,我認為他們沒有一起行動。他們似乎沒有做好充分準備。 五。
我認為他們沒有一起行動。他們似乎沒有做好充分準備。 五。,你覺得食物好嗎？ 四。
你覺得食物好嗎？ 四。,我對食物印象不深。 五。
我對食物印象不深。 五。,服務肯定會更好。 二。
服務肯定會更好。 二。,服務沒有幫助。 五。
服務沒有幫助。 五。,這是一家你想回來的餐館嗎？ 四。
這是一家你想回來的餐館嗎？ 四。,我對再次嘗試這家餐廳並不感興趣。 零。
歡迎您，您想訂購什麽？ 九。,我想要一個雙層芝士漢堡。 九。
我想要一個雙層芝士漢堡。 九。,你想要一切嗎？ 九。
你想要一切嗎？ 九。,我想要一切，謝謝。 零。
我想要一切，謝謝。 零。,你想要炸薯條嗎？ 九。
你想要炸薯條嗎？ 九。,我來買一些大卷炸薯條。 零。
我來買一些大卷炸薯條。 零。,我可以喝點什麽嗎？ 九。
我可以喝點什麽嗎？ 九。,當然，中等百事可樂怎麽樣？ 零。
當然，中等百事可樂怎麽樣？ 零。,這就是一切嗎？ 九。
這就是一切嗎？ 九。,那就是全部。謝謝。 零。
那就是全部。謝謝。 零。,不客氣，你的總價是五。48美元。 九。
不客氣，你的總價是五。48美元。 九。,謝謝。幹得好。 九。
我能得到什麽？ 九。,您好，我可以吃雙層芝士漢堡嗎？ 九。
您好，我可以吃雙層芝士漢堡嗎？ 九。,有什麽東西嗎？ 九。
有什麽東西嗎？ 九。,聽起來不錯。 九。
聽起來不錯。 九。,你想要點炸薯條嗎？ 九。
你想要點炸薯條嗎？ 九。,我可以買一大卷炸薯條嗎？ 九。
我可以買一大卷炸薯條嗎？ 九。,你想喝點東西嗎？ 九。
你想喝點東西嗎？ 九。,給我一個中等百事可樂。 九。
給我一個中等百事可樂。 九。,你還想要別的嗎？ 九。
你還想要別的嗎？ 九。,不，謝謝。而已。 九。
不，謝謝。而已。 九。,沒問題，那將是五。48美元。 九。
沒問題，那將是五。48美元。 九。,謝謝。幹得好。 九。
我能得到什麽？ 九。,您好，我可以吃雙層芝士漢堡嗎？ 九。
您好，我可以吃雙層芝士漢堡嗎？ 九。,有什麽東西嗎？ 九。
有什麽東西嗎？ 九。,聽起來不錯。 零。
聽起來不錯。 零。,你想要點炸薯條嗎？ 九。
你想要點炸薯條嗎？ 九。,我可以買一大卷炸薯條嗎？ 零。
我可以買一大卷炸薯條嗎？ 零。,你想喝點東西嗎？ 九。
你想喝點東西嗎？ 九。,給我一個中等百事可樂。 零。
給我一個中等百事可樂。 零。,你還想要別的嗎？ 九。
你還想要別的嗎？ 九。,不，謝謝。而已。 零。
不，謝謝。而已。 零。,沒問題，那將是五。48美元。 九。
沒問題，那將是五。48美元。 九。,非常感謝。不用找了。 零。
我可以幫你嗎？ 九。,雙層芝士漢堡聽起來不錯。 零。
雙層芝士漢堡聽起來不錯。 零。,關於它的一切？ 九。
關於它的一切？ 九。,好的，拜托。 零。
好的，拜托。 零。,你想要炸薯條嗎？ 九。
你想要炸薯條嗎？ 九。,我會喜歡大卷炸薯條。 零。
我會喜歡大卷炸薯條。 零。,你想喝點什麽嗎？ 九。
你想喝點什麽嗎？ 九。,是的，讓我有一個中等百事可樂。 零。
是的，讓我有一個中等百事可樂。 零。,這就是全部嗎？ 九。
這就是全部嗎？ 九。,是的，就是這樣。謝謝。 零。
是的，就是這樣。謝謝。 零。,你的總價為五。48美元。 九。
